Request_Size,Inter_RR_Time,DL_Time,DL_Vol,DL_Size,PB_Time
615,0.00373899999999594,0.02777900000000244,787724,522,59.698422
547,0.004255000000000564,0.08269500000000107,201772,136,61.291754
622,0.004641999999996926,0.11944400000000144,111845,76,61.48098
592,0.005622000000002458,0.10308799999999962,182348,122,61.607538
625,0.01805899999999383,0.6330990000000014,497046,331,64.415277
622,0.019375999999994065,0.071676999999994,66135,45,66.506279
547,0.00584100000000376,0.9990729999999957,194494,131,67.974284
625,0.0034930000000059636,0.5041300000000035,498824,332,70.37472
622,0.0038380000000017844,0.15153100000000563,207822,139,71.526507
625,0.004611999999994509,2.256147999999996,648636,433,75.439857
625,0.004443000000009079,0.9552269999999936,1003214,667,80.376893
625,0.004957000000004541,2.1061890000000005,1510984,1004,86.463605
622,0.010097000000001799,0.1436120000000045,118461,80,103.590767
625,0.010593000000000075,0.5262579999999986,320844,214,107.513975
549,0.00037100000000123146,0.09831400000000201,500170,333,108.051824
622,0.009762999999992417,0.11642400000000919,127949,86,108.608715
616,0.005827999999993949,0.1414919999999995,369036,246,109.05364
625,0.003959999999992192,0.4695180000000079,384938,257,112.524527
627,0.010722999999998706,0.7141110000000026,791955,527,119.010446
619,0.004297000000008211,0.215919999999997,541084,361,120.17675
622,0.004393000000007419,0.10745000000000005,80533,55,120.743736
622,0.0034480000000005617,0.19782400000000067,285977,191,8.669436
627,0.01045300000001248,0.6332449999999881,640206,427,124.265549
626,0.003884999999998584,0.517831000000001,350964,234,12.588532
554,0.00011299999999891952,0.566414,312432,208,13.110846
622,0.003387000000000029,0.4090000000000007,247818,166,13.684007
627,0.008241999999995642,1.735781000000003,1322572,880,129.258322
622,0.011288000000007514,0.15075500000000375,167232,112,131.157713
626,0.010199000000000069,1.518863999999997,530274,353,17.605889
619,0.010620999999986225,0.05708700000002409,522937,348,135.577707
583,0.005181000000000324,0.21115700000000004,307298,205,23.140921
622,0.009836000000007061,0.27158499999998753,432588,289,137.190999
622,0.007070999999999827,0.1722779999999986,280945,188,24.711078
592,0.004069999999984475,0.028618000000022903,64824,44,137.474647
627,0.006770999999986316,0.6770549999999957,391698,261,140.324215
626,0.0030939999999972656,0.3496130000000015,184833,124,28.631492
611,0.0005189999999970496,0.05892399999999043,146226,97,141.010547
619,0.0034300000000015984,0.290067999999998,576448,384,29.135403
622,0.010755999999997101,0.20398500000000297,207861,139,29.721053
619,0.009729999999990468,1.018431000000021,809653,539,146.623537
626,0.009805000000000064,0.3587829999999954,176065,118,33.643596
627,0.010082000000011249,1.1131069999999852,1509150,1003,151.369573
619,0.0035870000000031155,0.2118949999999984,544917,363,34.171673
627,0.012118999999984226,1.5940610000000106,1473862,980,156.394249
622,0.009920999999998514,0.12891800000000586,166994,112,35.741932
622,0.010840000000001737,0.1219509999999957,25668,18,158.291249
626,0.011158000000001778,0.3387859999999989,185243,124,38.66683
627,0.010177999999996246,0.788314999999983,1000098,665,161.413393
619,0.010003999999980806,1.767360000000025,1618766,1077,167.710676
619,0.0044310000000038485,0.1969879999999975,492592,328,40.154315
592,0.003917000000001281,2.465790999999996,429366,287,169.489981
627,0.009616999999991549,0.9696790000000135,522824,348,172.450794
627,0.010378000000002885,0.676243999999997,420360,280,177.470964
