Request_Size,Inter_RR_Time,DL_Time,DL_Vol,DL_Size,PB_Time
660.0,0.010337000000006924,2.074770000000001,1542030.0,1023.0,114.925969
660.0,0.004391999999995733,0.051043000000007055,1542900.0,1022.0,119.941901
660.0,0.010796999999996615,0.04178699999999935,1543495.0,1023.0,124.948683
660.0,0.010919999999998709,0.037610999999998285,1544753.0,1024.0,129.965498
660.0,0.009840999999994438,5.011224999999996,1027330.0,689.0,133.974547
660.0,0.009935000000012906,0.0403259999999932,1562699.0,1037.0,139.995739
660.0,0.003264999999998963,0.036074000000013484,1542505.0,1024.0,145.007475
660.0,0.004447999999996455,0.07862099999999828,1542486.0,1023.0,150.019181
660.0,0.007494999999977381,0.08515500000001452,1545025.0,1024.0,156.034792
660.0,0.011752000000001317,0.0398219999999867,1544832.0,1024.0,161.044587
660.0,0.010004999999978281,0.0408130000000142,1544070.0,1023.0,166.056776
660.0,0.010297000000008438,0.04846599999999057,1497011.0,992.0,171.067746
568.0,0.0036960000000192395,0.024816999999984546,43860.0,30.0,171.129393
620.0,0.010473000000000177,0.16498299999999944,112411.0,76.0,5.237953
620.0,0.0055539999999982825,0.209048000000001,342984.0,229.0,8.244243
589.0,0.0038180000000007652,0.006112999999999147,161832.0,108.0,9.245844
620.0,0.004065999999999903,0.2895570000000003,228728.0,153.0,10.752787
620.0,0.003724999999999312,0.4253280000000004,111935.0,76.0,13.257298
620.0,0.0033989999999981535,0.15470900000000043,112447.0,76.0,19.269601
589.0,0.049906000000000006,0.012757999999998049,502131.0,334.0,20.270751
620.0,0.004538000000000153,0.18067100000000025,260084.0,174.0,21.2719
620.0,0.010172999999998211,3.0036350000000027,311054.0,208.0,24.279094
620.0,0.010863000000000511,0.08251699999999929,343088.0,229.0,29.293166
620.0,0.004896000000002232,0.1353599999999986,350398.0,233.0,32.296185
620.0,0.004384999999999195,0.4034059999999968,319596.0,214.0,35.304298
589.0,0.003720999999998753,1.7382149999999967,632298.0,420.0,35.714854
620.0,0.004310999999994181,0.07498300000000313,176692.0,118.0,40.314933
620.0,0.004539000000001181,3.0134019999999992,74672.0,55.0,45.32203
589.0,0.011181999999998027,0.30340900000000204,501933.0,334.0,50.340612
620.0,0.004494000000001108,2.8270359999999997,239754.0,163.0,50.659347
620.0,0.003997000000005357,0.3392069999999947,275869.0,186.0,56.349253
620.0,0.00971799999999945,0.29141899999999765,260889.0,175.0,59.36016
620.0,0.009686000000002082,0.3309449999999998,112957.0,77.0,61.369274
620.0,0.011440000000007444,0.2931339999999949,108795.0,73.0,64.372299
589.0,0.003638000000009356,0.01827199999999607,400508.0,266.0,64.679786
620.0,0.010757999999995604,0.1232480000000038,108122.0,74.0,67.376772
620.0,0.0035349999999993997,5.013666000000001,135315.0,93.0,69.382476
620.0,0.009669999999999845,0.13219200000000342,68508.0,47.0,80.41928
620.0,0.010463999999998919,0.2615600000000029,191400.0,129.0,85.426419
589.0,0.0032429999999976644,0.29418700000000797,318944.0,212.0,85.701695
620.0,0.009632000000010521,2.066079000000002,75339.0,55.0,90.444319
620.0,0.009709999999998331,0.14280300000000068,74225.0,51.0,96.451689
620.0,0.009740000000007853,0.2705959999999976,170079.0,115.0,101.468415
620.0,0.011095999999994888,0.12685500000000616,129700.0,88.0,106.474024
620.0,0.009101999999998611,0.3104370000000074,123339.0,85.0,112.485908
620.0,0.010923000000005345,0.5204209999999989,228486.0,154.0,117.497568
589.0,0.0036849999999901684,2.9578750000000014,501807.0,336.0,118.032739
620.0,0.01078499999999849,0.3251319999999964,254359.0,174.0,122.511623
620.0,0.00981700000002661,0.15976599999999053,218942.0,148.0,128.52136
620.0,0.010347999999993363,0.14482399999999984,205018.0,138.0,133.530969
620.0,0.010401999999999134,0.19885100000001898,211202.0,142.0,138.549252
620.0,0.01305200000001605,0.16464399999998136,289418.0,195.0,144.567445
620.0,0.009751000000022714,0.1667139999999847,112596.0,77.0,149.580797
589.0,0.003986999999995078,0.00916300000000092,266992.0,178.0,149.761328
620.0,0.004089999999990823,0.1367100000000221,113302.0,77.0,154.606167
594.0,0.010549999999999837,0.0026239999999999597,39212.0,27.0,2.017157
666.0,0.004922000000000093,0.00711700000000004,189232.0,127.0,2.068167
661.0,0.01003799999999444,0.03840900000000147,1527952.0,1012.0,114.915463
661.0,0.004089000000000009,0.016082999999999625,439704.0,292.0,2.414642
661.0,0.004471999999992704,1.4050980000000095,1029238.0,683.0,119.941506
661.0,0.00416699999999981,0.03236599999999967,1288686.0,854.0,7.431168
661.0,0.010087999999999653,0.046995000000000786,1449548.0,961.0,12.458409
661.0,0.0038699999999920465,0.03244400000001235,1305610.0,865.0,124.966081
661.0,0.004114000000001283,0.038755999999999347,1513127.0,1002.0,17.480621
661.0,0.009936999999979435,0.040288000000003876,1544486.0,1023.0,129.9874
