num_packets_up,num_packet_down,total_bytes_up,min_pkt_size_up,max_pkt_size_up,mean_pkt_size_up,std_pkt_size_up,total_bytes_down,min_pkt_size_down,max_pkt_size_down,mean_pkt_size_down,std_pkt_size_down,min_iat_up,max_iat_up,mean_iat_up,std_iat_up,min_iat_dowj,max_iat_down,mean_iat_down,std_iat_down,website
497,486,83841.0,40.0,1574.0,168.69416498993965,278.15853825723224,506512.0,40.0,20886.0,1042.2057613168724,2513.456763484282,7.000000000000001e-06,4.275914,0.033506542338709686,0.2759862042287479,1.0000000000000002e-06,5.233682,0.03426071546391752,0.31710683911342197,theguardian.com
720,682,108482.0,40.0,1385.0,150.66944444444445,265.52049633626433,1150013.0,40.0,33620.0,1686.2360703812317,4413.55076085438,4.000000000000001e-06,4.954287,0.025135203059805284,0.248415142132462,0.0,5.678006000000001,0.026534750367107195,0.32440908604147345,bbc.co.uk
523,556,171456.0,40.0,16071.0,327.83173996175907,1356.7271338392352,670282.0,40.0,24860.0,1205.5431654676258,2987.250364243668,0.0,6.967797,0.03566448659003832,0.3674645458662115,0.0,12.269782000000001,0.033538772972972974,0.5361298402421243,indiatimes.com
2017,1830,632148.0,40.0,11105.0,313.4100148735746,611.8117026365104,1455467.0,40.0,19582.0,795.3371584699454,2271.557525720833,0.0,0.542042,0.009302228174603175,0.03550848115748803,0.0,0.543869,0.010251754510661563,0.041745953170625495,timesofindia.com
1862,1858,439564.0,40.0,7340.0,236.07089151450054,484.4033465740328,7633506.0,40.0,59900.0,4108.453175457481,5771.381405723577,1.0000000000000002e-06,4.344184,0.00991952283718431,0.11269084790228369,1.0000000000000002e-06,12.948387,0.00993917932148627,0.30079128826162316,nytimes.com
571,556,116475.0,40.0,4140.0,203.98423817863397,452.04336629828674,738303.0,40.0,24991.0,1327.88309352518,3455.087489903089,1.0000000000000002e-06,3.9183830000000004,0.03405462982456141,0.26924848562071624,0.0,4.316716,0.034970679279279285,0.3048643475458868,cnbc.com
1629,1523,469139.0,40.0,5370.0,287.99201964395337,503.31162948378335,1333614.0,40.0,13890.0,875.6493762311228,1781.043612617041,0.0,2.068861,0.011797009213759214,0.07219004812143828,0.0,2.069488,0.012615979632063075,0.09319403606813872,news.yahoo.com
711,662,155982.0,40.0,6204.0,219.38396624472574,434.38301748963636,997507.0,40.0,30700.0,1506.8081570996978,3695.594215563422,1.0000000000000002e-06,2.677019,0.025665400000000005,0.18115083613509336,0.0,4.652663,0.027560881996974283,0.2619540603341889,news18.com
624,583,101211.0,40.0,1385.0,162.1971153846154,282.8051719055243,839560.0,40.0,30700.0,1440.0686106346484,3915.7690710721063,4.000000000000001e-06,3.4863220000000004,0.025500367576243986,0.2006316032739074,1.0000000000000002e-06,9.514063,0.027287144329896908,0.4085132090503302,bbc.co.uk
2217,2020,578337.0,40.0,7340.0,260.8646820027064,496.8307716071888,1758668.0,40.0,29240.0,870.6277227722773,2493.337922358418,5e-06,1.984733,0.008836157942238266,0.06541255068169757,0.0,1.985049,0.009695659732540862,0.0858311381711141,ndtv.com
2063,1847,559404.0,40.0,7340.0,271.1604459524964,511.57131035019825,1174706.0,40.0,11720.0,636.0075798592312,1370.5929156223651,2.0000000000000003e-06,1.052612,0.009363050921435502,0.05209429744535305,0.0,2.896567,0.01045672210184182,0.09729201501080152,ndtv.com
217,192,28275.0,40.0,1025.0,130.2995391705069,176.23720770432186,432586.0,40.0,23400.0,2253.0520833333335,4645.531642138584,5e-06,5.844538,0.08925894444444443,0.6315591159129527,1.0000000000000002e-06,0.16057000000000002,0.006934607329842932,0.02028221945624577,msn.com
400,391,79319.0,40.0,2960.0,198.2975,458.3254788960168,627382.0,40.0,38493.0,1604.5575447570332,4372.035698605998,5e-06,4.881153,0.04684503007518798,0.40260736694837645,1.0000000000000002e-06,4.882513,0.04791734615384617,0.4073196760067293,msn.com
969,977,156207.0,40.0,3096.0,161.20433436532508,332.1696077111496,1554244.0,40.0,51140.0,1590.8331627430912,5208.046336904245,4.000000000000001e-06,0.8178110000000001,0.020362378099173555,0.07501573990978581,1.0000000000000002e-06,0.817806,0.020193527663934428,0.07488634047076158,finance.yahoo.com
216,205,25496.0,40.0,1248.0,118.03703703703704,160.38467861209685,239121.0,40.0,16100.0,1166.4439024390244,2928.1020542699653,4.000000000000001e-06,13.497442000000001,0.08979465116279073,0.9492611414303834,0.0,13.499720000000002,0.09462272549019608,0.9747214358606209,nypost.com
639,1049,998658.0,40.0,32160.0,1562.8450704225352,4557.763298454257,873936.0,40.0,35080.0,833.1134413727359,3068.3152380886017,4.000000000000001e-06,6.252065,0.03024834796238245,0.27175883026745234,0.0,7.9611600000000005,0.0184102786259542,0.3306714851829661,news.google.com
342,317,54904.0,40.0,1385.0,160.53801169590642,275.39617427094583,545158.0,40.0,23400.0,1719.7413249211356,4017.452530888044,3e-06,9.255671000000001,0.05707120527859239,0.5816681952467545,0.0,16.497022,0.061572031645569625,0.9295952973467366,cnn.com
681,1115,985222.0,40.0,27780.0,1446.7283406754773,4262.039186535392,1648514.0,40.0,41513.0,1478.4878923766817,4441.4406022716075,5e-06,5.453579,0.027494649999999995,0.23613598185326737,0.0,7.574482000000001,0.016776826750448833,0.29667587018496905,news.google.com
874,874,119198.0,40.0,1385.0,136.3821510297483,206.39019963045882,2469580.0,40.0,55458.0,2825.6064073226544,7568.00993364764,6e-06,4.596673,0.021673805269186715,0.20411657410267198,0.0,4.597514,0.021669215349369986,0.2506700033343976,foxnews.com
963,971,155374.0,40.0,3134.0,161.34371754932502,343.56002969139195,1872412.0,40.0,59900.0,1928.333676622039,5876.748520139134,5e-06,0.999742,0.02018406860706861,0.0867417074824285,0.0,0.999738,0.020012645360824744,0.08652041069357053,finance.yahoo.com
645,631,123190.0,40.0,4224.0,190.9922480620155,432.7426238669387,773768.0,40.0,27780.0,1226.256735340729,3153.06664441795,1.0000000000000002e-06,4.165344,0.028599554347826083,0.21860336849352782,0.0,4.558048,0.02923186349206349,0.24755707800061771,cnbc.com
2858,2613,818917.0,40.0,7517.0,286.53498950314906,522.5345105025128,2192906.0,40.0,19020.0,839.2292384232683,1711.2962269275283,0.0,0.460795,0.006666599229961498,0.02628849386137101,0.0,0.41951400000000005,0.007290374042879019,0.03228004607775378,timesofindia.com
