0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,website
-262.0,54359.313126994006,106016.64554287978,145613.74866942345,208753.10648430555,271892.48247054894,335031.85859189054,398171.2347468905,461310.610789085,518154.03974562103,572698.7556301596,628942.5987632219,677179.9083457201,730751.1886847719,777854.4360679185,835837.8028522116,897835.1776804274,953936.475931671,1017075.8519658399,1074997.0,bbc.co.uk
-571.0,33941.27242433414,75519.58401809407,117097.89524432742,151506.16489801835,180926.29777819687,222312.60351436408,260196.90645768412,286447.1238478438,311801.2965521528,353067.5982220908,394645.9100656665,435918.2131340108,477496.52496140153,518768.8263172268,560347.1382441021,601925.4501377452,610428.3790179177,569028.0761559875,530158.0,indiatimes.com
-571.0,83458.06667201557,161185.1598178873,230560.10855430108,310435.0731908415,398270.17844342516,478813.2497354615,543314.1774369116,593357.0820754155,667482.03535052,753605.0952775192,845298.2243360806,883721.1149616397,931534.0655850463,919725.030999955,911929.9539317648,951738.8568293985,979847.7688607131,1048438.7816729071,1093557.0,timesofindia.com
-262.0,385828.1021409965,756443.9966077833,1164048.194666589,1572746.4057404124,1981626.6141886823,2387638.820483344,2796883.03975962,3205731.2577305837,3612447.4478455544,4021691.6707774494,4430935.890853071,4839988.108265368,5239052.250320432,5648296.4705592375,6057540.690886542,6463664.883348681,6872909.105090068,7258655.175570158,7469276.0,nytimes.com
-571.0,24483.977720385064,66627.02461682036,108770.07213184389,150913.11964235402,190772.1652729092,231773.2117789331,266178.23363089765,293897.18150387256,306318.13291856146,348291.1728292336,378023.8263789848,403937.13946658635,440600.13530267664,478047.17213519954,513844.156858116,550859.1743141508,592690.2178489328,634833.2653993273,653630.0,cnbc.com
-262.0,58354.998593504206,124752.00565070652,201541.05648439878,266399.9559505583,322396.9249477468,381245.917009412,454592.97727822734,516760.0372744126,543226.8737498368,602155.8898528791,684320.9689015397,759420.006038858,825793.0319486599,884720.0193718503,889654.871387392,940101.8231255424,1015358.8111531369,1074341.7995633467,1048292.0,news.yahoo.com
-571.0,42280.45558480222,97585.99834754021,152891.52788777562,205913.0688466015,251024.56000922728,292275.88366003655,345035.3967701184,392634.8282782194,446942.36031450785,501689.894696414,553053.3825957207,607216.9246419139,656364.4060097943,698217.9043799619,741581.3283122856,786182.7796577403,832228.2265634557,887065.7582252859,917539.0,news18.com
-571.0,41767.65455808576,81926.33021990773,109266.83371537898,144383.41826578265,189836.10563086643,225630.75012449356,260335.29487645786,296023.9083399997,330810.54160974344,370157.14101132605,416225.821420318,448702.4217920509,494603.1033027199,541197.7924737505,587792.4816720976,634387.170819287,680981.8600264031,727576.5491957068,768739.0,bbc.co.uk
-262.0,80614.62405254945,157107.10735279915,259867.87553672012,348252.59372718754,438041.2808021778,504409.7406204716,578002.249786969,641777.2242975691,700536.6938805992,770711.7907575466,866436.5518848749,952595.178892545,1048767.8982784592,1126510.4752490325,1182331.1253319979,1254092.387073087,1355774.3711084712,1460263.1683538493,1449367.0,ndtv.com
-262.0,60138.11068810813,118954.16874574978,174837.75458681848,227410.22871267394,267622.2036222777,315816.1231200787,380106.26075451623,450242.41627928184,496533.5487133502,568042.6454035908,623763.3424501544,663129.4033497662,700043.4359634195,744678.6316162685,809324.6929727517,855044.7832728943,904523.2045547265,925984.7889785616,890326.0,ndtv.com
-262.0,13663.74849805951,36301.54644748696,60191.357471631156,84081.16817461376,99976.97163418191,115784.71528461558,139674.52614322692,163564.32538588284,187454.1361923442,211343.9472260494,235233.75827659128,259123.5693359899,283013.3804013792,303785.17444031074,327194.9766210099,338642.6671776953,362532.47800032754,386422.28903784044,404630.0,msn.com
-571.0,26902.39002185551,63259.84812178478,91623.29967085035,120730.72216039665,157088.18021411623,193445.63829518185,229803.09643081354,266160.5544469389,299721.9993139301,324645.36797057086,361002.8256849862,392450.2536628652,428807.71157438157,455759.1212343343,480234.5034113539,478829.9035629386,501645.3030533715,529840.7517521719,546096.0,msn.com
-262.0,70518.78350389341,158615.66428083627,238799.50083292797,320260.65773678693,383859.9780544645,464748.8679118484,546787.7136710237,604296.5053474181,640303.2556098291,687683.9731245979,740490.7149876328,822563.5412930329,897522.3785307523,981633.1847223723,1067003.989365517,1152746.8291425246,1238489.663282557,1324232.514723401,1400747.0,finance.yahoo.com
-571.0,7163.428177341381,18822.161689520115,32275.762669138647,45729.363662957956,59182.96466553234,72636.56551145826,86090.16643765203,94242.27778154958,104767.29071112256,112665.16364252366,122496.42643917387,129524.01496005921,137995.5409252872,151449.1418552777,164902.74282468975,178356.34381458236,191809.94480727563,202744.46581708532,212561.0,nypost.com
-571.0,79356.10587966378,170003.3100307303,255228.49657230885,343519.68165302376,419334.7628174658,490163.8606296213,551051.0510044296,460865.8556209358,370218.6539324882,279571.4515178618,188924.24750224638,188457.18492377774,97809.98109594628,7162.777028103235,-83484.42681865965,-174131.62961851576,-213895.20873128006,-123434.00990865137,-40495.0,news.google.com
-262.0,18368.61400768777,46406.826118078694,76300.27040599335,106379.72065015383,136459.17082055964,166538.62107474258,187842.05236667162,214825.4760863432,243762.92292137805,262888.3060528001,283927.7148018712,310099.1474473184,339910.5939099278,363271.945047368,393351.3891616287,423430.8393860886,453510.28955138876,482019.71265861666,505645.0,cnn.com
-571.0,120516.74017595476,252936.57775184655,375884.36626033584,473610.01698703214,544220.2628413988,412340.433162183,279920.5954386147,174417.10686318116,306836.94378108333,439256.78195308795,571676.6200326087,592129.5684119799,459709.7328797755,327289.89653185627,207003.94115932405,334669.76737791457,459331.5199220458,591379.3453184824,716429.0,news.google.com
-262.0,107706.8545740715,189501.46241783292,274085.91247808485,385238.9143712583,504817.8058494267,638566.7703891416,771679.7281412124,905428.6926986593,1039177.6573038318,1172594.6178726628,1306343.5824341879,1440092.5470606023,1573509.5084757318,1707258.4728479744,1841007.4374130878,1974424.3987981125,2108173.363173848,2241922.327652854,2368953.0,foxnews.com
