IP,COUNTRY,LAT,LON,DIST,RTT
91.232.156.247,FI,60.2185,24.8695,6636.620899760967,102.90398597717285
95.217.19.69,FI,60.3395,25.0285,6637.55330003554,98.25594425201416
185.139.168.19,FI,60.2075,24.8985,6638.625127406778,102.80561447143555
213.192.184.42,FI,60.2015,24.9295,6640.449048306422,97.96853065490723
81.20.224.220,FI,60.2185,24.9515,6640.564872201651,102.95658111572266
212.7.0.250,EE,59.4615,24.6895,6669.9226178879435,102.31716632843018
95.47.236.146,EE,59.4595,24.6875,6669.9359509329015,100.2561092376709
195.43.87.140,EE,59.4285,24.6785,6671.222666767631,113.32182884216309
195.190.26.29,AT,48.1705,14.0415,6674.8611531820925,89.20102119445801
91.236.55.69,PL,52.9895,18.6705,6701.259304958572,105.43019771575928
35.228.29.222,FI,60.5705,27.1875,6726.780580202844,109.29791927337646
194.182.186.87,AT,46.6105,14.2595,6774.2178191598,96.01120948791504
143.205.170.32,AT,46.6205,14.2685,6774.263754808216,99.09758567810059
194.93.76.42,AT,46.6395,14.3095,6775.938680315781,96.22352123260498
178.255.156.202,AT,46.6175,14.3185,6777.752603302924,110.48593521118164
46.183.219.225,LV,56.9515,24.1115,6782.3207949864445,98.40521812438965
147.251.58.107,CZ,49.2115,16.6015,6782.353512418555,96.81737422943115
31.14.143.132,IT,43.4615,11.8375,6783.413928265575,96.72772884368896
80.79.16.242,CZ,49.2015,16.6175,6783.918254427685,98.06199073791504
212.3.202.246,LV,56.9675,24.1695,6784.434808907572,104.22210693359375
185.215.195.14,IT,45.7095,13.7315,6788.732469984714,100.83520412445068
62.80.227.146,LT,55.9195,23.2885,6797.61853667205,111.94489002227783
46.166.168.3,LT,55.9185,23.2895,6797.729252850042,108.69004726409912
193.2.63.12,SI,46.0475,14.4605,6818.898085978016,98.8856315612793
67.221.244.87,SI,46.0805,14.4895,6818.994562449594,100.32298564910889
185.206.184.74,SI,46.0775,14.4895,6819.16214913572,99.0837812423706
193.46.104.17,AT,48.2715,16.4075,6822.278340632754,91.87963008880615
193.170.114.242,AT,48.2695,16.4085,6822.454309569959,95.4329252243042
94.136.2.190,AT,48.2095,16.3585,6822.597724051781,91.70289039611816
5.1.66.5,AT,48.1905,16.3515,6823.21008007517,90.60232639312744
193.171.255.2,AT,48.2085,16.3695,6823.360343792918,94.16203498840332
92.60.13.86,AT,48.2095,16.3775,6823.818376554067,91.11559391021729
217.243.179.215,AT,48.1875,16.3895,6825.819863928336,106.30199909210205
51.83.252.103,PL,52.2075,20.8075,6870.1633480672635,103.4200668334961
188.241.28.37,PL,50.2485,18.9985,6873.403900077755,97.71814346313477
91.243.43.19,PL,50.2485,19.0005,6873.526494974964,95.62234878540039
185.236.240.19,PL,52.2375,20.9785,6878.462600208663,101.65627002716064
5.188.108.64,PL,52.2315,21.0005,6880.09463883275,97.0897912979126
156.154.84.254,PL,52.1495,21.0015,6884.861931778104,93.72470378875732
195.187.36.10,PL,52.1275,21.0685,6890.054187489314,97.0510721206665
92.223.65.18,RU,59.9795,30.3275,6908.645637867472,113.45601081848145
45.142.246.158,RU,59.8885,30.3305,6914.431166028932,105.83779811859131
94.242.1.50,RU,59.9085,30.4105,6916.905822907474,109.79275703430176
194.187.172.112,IT,41.8675,12.4795,6918.855047380895,97.1364974975586
193.201.40.210,IT,41.8995,12.5085,6919.078694412667,96.09034061431885
188.143.128.12,RU,59.8785,30.4285,6919.607300392395,125.56464672088623
161.53.251.28,HR,45.7905,15.9685,6934.11444887433,101.21567249298096
185.5.201.10,IT,42.9405,13.8815,6955.808660413597,108.50114822387695
5.20.2.255,LT,54.6995,25.2595,6975.492166698311,101.50055885314941
187.44.229.14,BR,-12.9795,-38.4505,6993.770771221582,118.40798854827881
5.28.0.17,HU,47.5015,19.0385,7034.978613762547,100.12595653533936
193.104.85.3,UA,49.9705,23.1505,7141.541873289381,117.44322776794434
31.130.200.18,BY,53.8915,27.4605,7144.6202018291,104.23855781555176
80.65.65.220,BA,44.1995,17.8995,7156.840155613462,112.88931369781494
5.158.64.189,IT,40.5875,14.9805,7171.996043001345,111.09676361083984
185.157.231.49,IT,38.1185,13.3605,7203.917515385605,113.27292919158936
195.130.61.208,BA,43.8605,18.4005,7211.031704081675,104.79731559753418
93.113.126.132,RO,45.7695,21.2305,7280.5283768371155,99.92709159851074
193.106.144.26,UA,50.6205,26.2505,7283.818011646427,132.26260079277887
87.237.203.50,RS,44.8015,20.4585,7290.200500181551,100.47638416290283
185.25.205.152,IT,40.9475,17.2785,7312.289117034756,90.78545570373535
150.164.1.222,BR,-19.8725,-43.9685,7402.033869726923,151.0216474533081
194.1.149.210,AL,41.3195,19.8215,7465.510687043502,109.38127040863037
91.213.39.29,RU,57.6405,39.8805,7504.136307166278,118.38421821594238
37.252.254.142,RU,55.8915,37.5085,7522.003693300684,110.7548475265503
193.232.226.58,RU,55.7985,37.4785,7527.278370726109,114.39599990844727
194.149.138.252,MK,42.0005,21.4105,7530.391670980671,117.336106300354
146.185.218.110,RU,55.7995,37.5505,7530.645186582313,122.83203601837158
109.70.107.25,UA,50.4775,30.4375,7532.558028822156,125.85737705230713
88.81.228.254,UA,50.4495,30.4495,7535.1316254584335,113.96658420562744
95.163.252.10,RU,55.7595,37.6185,7536.781493100781,124.8572587966919
62.205.155.50,UA,50.4605,30.4975,7537.087607454486,124.52447414398193
81.27.254.54,RU,55.7685,37.6515,7537.706312376373,113.23206424713135
185.22.25.5,RU,55.7405,37.6185,7538.154832494937,116.93308353424072
195.91.164.68,RU,55.7275,37.6215,7539.237932367822,117.86684989929199
91.202.128.78,UA,50.3805,30.4685,7540.88193442648,123.08962345123291
45.239.44.43,PY,-25.7795,-56.4515,7588.48241513254,153.8268804550171
86.107.73.26,RO,47.1585,27.5895,7589.310692286616,106.3450813293457
213.91.165.185,BG,42.6905,23.3215,7613.55794433833,112.09735870361328
213.91.165.187,BG,42.6605,23.3715,7618.832889817195,110.0139856338501
85.187.20.236,BG,42.6685,23.3975,7620.031496185393,117.25959777832031
148.163.220.5,BR,-23.4715,-46.8625,7649.583273455268,129.16529178619385
5.188.238.222,BR,-23.4885,-46.8405,7652.170272578941,130.4417371749878
193.150.67.79,BG,43.3885,24.6215,7653.065627536127,105.76658248901367
156.154.122.254,BR,-23.4895,-46.8095,7653.458902554017,109.06796455383301
197.239.73.59,BF,12.3715,-1.5085,7665.765603046746,177.26387977600098
152.195.206.35,BR,-23.5485,-46.6285,7666.459091809452,129.62594032287598
35.198.9.221,BR,-23.5525,-46.6325,7666.71564541571,115.50891399383545
18.228.126.142,BR,-23.5525,-46.6295,7666.831011486039,129.89211082458496
45.11.105.136,BR,-23.5825,-46.6385,7669.56299478951,123.85337352752686
200.160.6.19,BR,-23.6525,-46.7325,7673.141811868226,111.3508939743042
91.220.63.87,RO,44.4785,26.0675,7673.731213207184,106.7209005355835
178.17.170.109,MD,47.0175,28.8375,7674.184703008915,115.92133045196533
185.173.16.151,RO,44.4205,26.0975,7679.513603755634,108.31542015075684
143.208.160.10,BR,-25.0885,-50.1025,7701.031117738669,133.93380641937256
195.250.60.125,BG,44.1195,27.2595,7773.571135918208,116.55011177062988
195.189.60.149,UA,49.0685,33.4095,7797.5933731888235,107.23989009857178
141.105.133.30,UA,46.4775,30.7285,7824.7815414949755,125.20384788513184
138.204.7.245,AR,-29.2315,-61.7715,7851.224012518954,168.3441162109375
185.126.112.18,UA,46.9795,31.9875,7864.072888019772,119.86525058746338
217.77.210.42,UA,46.9705,31.9805,7864.298349820673,130.31702041625977
77.88.216.1,UA,48.4715,35.0585,7932.95452907664,124.28243160247803
176.119.210.244,GR,38.0775,23.6995,7946.4224027654955,119.37251091003418
83.212.7.42,GR,37.9895,23.7285,7954.400625483081,111.7828369140625
195.130.66.103,GR,37.9675,23.7495,7957.352876393681,114.36238288879395
178.218.68.22,UA,47.7815,35.1905,7990.746505065622,227.71167755126953
185.17.112.95,TR,40.9905,28.8305,8090.9390969569295,116.59674644470215
5.188.168.94,TR,40.9885,28.8305,8091.079846764252,116.32392406463623
217.146.6.118,TR,41.0695,29.0095,8097.01424011296,121.74367904663086
213.238.162.218,TR,40.9815,29.0985,8109.002733556607,127.8296709060669
188.130.254.243,UA,47.9995,37.8075,8120.153476491224,136.20953559875488
185.28.108.163,UA,48.0015,37.8375,8121.648077620524,133.41195583343506
185.92.0.41,TR,40.7705,29.7915,8168.927123471225,124.34179782867432
138.204.228.25,CL,-33.0415,-71.6205,8172.782984211464,148.27501773834229
200.132.1.32,BR,-30.0685,-51.1205,8191.493328907775,189.26100730895996
78.189.206.22,TR,40.7715,30.3885,8207.45799584706,126.4026403427124
148.163.223.233,CL,-33.3625,-70.6825,8212.004941461266,131.0542106628418
170.247.95.81,CL,-33.4205,-70.5985,8218.811259422064,135.3825569152832
200.1.122.55,CL,-33.4405,-70.6505,8220.790001137859,127.43566036224365
139.91.68.3,GR,35.3105,25.0715,8232.785005462438,120.17698287963867
196.49.14.25,GH,5.5975,-0.1885,8257.965153498153,163.29030990600586
